"Your config was successfully saved.","Your config was successfully saved."
"Send email to friend","Send email to friend"
"The offer had been sent to your friends.","The offer had been sent to your friends."
"Reward Points","Reward Points"
"Earning","Earning"
"Earning Rates","Earning Rates"
"Catalog Earning Rules","Catalog Earning Rules"
"Shopping Cart Earning Rules","Shopping Cart Earning Rules"
"Behavior Earning Rules","Behavior Earning Rules"
"Spending","Spending"
"Spending Rates","Spending Rates"
"Catalog Spending Rules","Catalog Spending Rules"
"Shopping Cart Spending Rules","Shopping Cart Spending Rules"
"Referring Friends","Referring Friends"
"Reports","Reports"
"Dashboard","Dashboard"
"Report Earned Points","Report Earned Points"
"Report Spend Points","Report Spend Points"
"Settings","Settings"
"Allow Everything","Allow Everything"
"Customer Behavior Earning Rules","Customer Behavior Earning Rules"
"Points earned for signing up","Points earned for signing up"
"Points earned for subscribing Newsletters","Points earned for subscribing Newsletters"
"Points earned for reviewing product","Points earned for reviewing product"
"Max points earned for reviewing products","Max points earned for reviewing products"
"Points earned for tagging product","Points earned for tagging product"
"Max points earned for tagging product","Max points earned for tagging product"
"Points earned for taking poll","Points earned for taking poll"
"Max points earned for taking poll","Max points earned for taking poll"
"points per customer per day","points per customer per day"
"Update balance","Update balance"
"Expire notification","Expire notification"
"Send offer to friend","Send offer to friend"
"Spend by point(s)","Spend by point(s)"
"Magestore Extension","Magestore Extension"
"Extra config","Extra config"
"More information page","More information page"
"Refer friend configuration","Refer friend configuration"
"Enable referring coupon","Enable referring coupon"
"Coupon Code Pattern","Coupon Code Pattern"
"Enable earning points per sale","Enable earning points per sale"
"Enable earning points per unique click","Enable earning points per unique click"
"Enable earning points per visit","Enable earning points per visit"
"Spend points for","Spend points for"
"Tax","Tax"
"Shipping Fee","Shipping Fee"
"Shipping Tax","Shipping Tax"
"General Configuration","General Configuration"
"Capture Online Using Point","Capture Online Using Point"
"Allow earning points by Shipping Fee","Allow earning points by Shipping Fee"
"Allow receiving points when order state is","Allow receiving points when order state is"
"Refund points when order state is","Refund points when order state is"
"Points expire after Transaction date","Points expire after Transaction date"
"Minimum redeemable points","Minimum redeemable points"
"Maximum allowed points of Customer's balance","Maximum allowed points of Customer's balance"
"Initial Point(s)","Initial Point(s)"
"Sign-up for Newsletter","Sign-up for Newsletter"
"Review product point(s) limit","Review product point(s) limit"
"Tag product point(s) limit","Tag product point(s) limit"
"Participating in poll","Participating in poll"
"Participating in poll point(s) limit","Participating in poll point(s) limit"
"Enable email notification","Enable email notification"
"Sender","Sender"
"Balance-updated Email template","Balance-updated Email template"
"Point-expiration Email template","Point-expiration Email template"
"Auto Send reminder email before","Auto Send reminder email before"
"Refer-friend Email template","Refer-friend Email template"
"Reset all transaction","Reset all transaction"
"Display Point information","Display Point information"
"Show total points next to My account link","Show total points next to My account link"
"Show collectible points of Newsletter","Show collectible points of Newsletter"
"Show collectible points of Review","Show collectible points of Review"
"Show collectible points of Poll","Show collectible points of Poll"
"Show collectible points of Purchasing Product","Show collectible points of Purchasing Product"
"Show collectible points of Tag","Show collectible points of Tag"
"More-information Page","More-information Page"
"Reward point report","Reward point report"
"Enable Charts","Enable Charts"
"Year-To-Date Starts","Year-To-Date Starts"
"Current Month Starts","Current Month Starts"
"If no, Customers can just refer using Link","If no, Customers can just refer using Link"
"Pattern examples:<br/><strong>[A.8] : 8 alpha chars<br/>[N.4] : 4 numerics<br/>[AN.6] : 6 alphanumeric<br/>REWARD-[A.4]-[AN.6] : REWARD-ADFA-12NF0O</strong>","Pattern examples:<br/><strong>[A.8] : 8 alpha chars<br/>[N.4] : 4 numerics<br/>[AN.6] : 6 alphanumeric<br/>REWARD-[A.4]-[AN.6] : REWARD-ADFA-12NF0O</strong>"
"Allow using points for Tax","Allow using points for Tax"
"Allow using points for Shipping Fee.","Allow using points for Shipping Fee."
"Allow using points for Shipping Tax.","Allow using points for Shipping Tax."
"Only apply for Shopping cart earning rules","Only apply for Shopping cart earning rules"
"day(s). Empty or zero is no limitation.","day(s). Empty or zero is no limitation."
"Empty or zero is no limitation.","Empty or zero is no limitation."
"point(s) per day","point(s) per day"
"day(s)","day(s)"
"This action will be remove all transaction and set all customer's point(s) balance to zero that you can't recovery.","This action will be remove all transaction and set all customer's point(s) balance to zero that you can't recovery."
"Display in Product page","Display in Product page"
"Select day of the month.","Select day of the month."
"Customer will spend","Customer will spend"
"Customer will earn","Customer will earn"
"Current Configuration Scope:","Current Configuration Scope:"
"Manage Stores","Manage Stores"
"Transactions History","Transactions History"
"Example:","Example:"
"1. If you want to apply the rule to a product that costs more than %s and has product brand Apple, the condition is:","1. If you want to apply the rule to a product that costs more than %s and has product brand Apple, the condition is:"
"2. If you want to configure for 5 points Customers spend on product:","2. If you want to configure for 5 points Customers spend on product:"
"- Choose ","- Choose "
"- Fill in field ","- Fill in field "
"3. If you want to configure for 5 points Customers spend on every %s of product price and limit points monetary step to be 15 points, then:","3. If you want to configure for 5 points Customers spend on every %s of product price and limit points monetary step to be 15 points, then:"
"If you want to give Customers 5 points for purchasing products, then:","If you want to give Customers 5 points for purchasing products, then:"
"If you want to give Customers 5 points for every %s of price they purchase and limit the points they can earn to be 15 points, then","If you want to give Customers 5 points for every %s of price they purchase and limit the points they can earn to be 15 points, then"
"If you want to give Customers 5 points for every %s of profit they make and limit the points they can earn to be 15, then:","If you want to give Customers 5 points for every %s of profit they make and limit the points they can earn to be 15, then:"
"1. Example 1:","1. Example 1:"
"2. Example 2:","2. Example 2:"
"- Fill in field: ","- Fill in field: "
"Example ","Example "
"1. If you want to give Customers 5 points when purchasing, then:","1. If you want to give Customers 5 points when purchasing, then:"
"2. If you want to give Customers 5 points for every %s spent and limit the points that Customers can earn to be 15, then:","2. If you want to give Customers 5 points for every %s spent and limit the points that Customers can earn to be 15, then:"
"3. If you want to give Customers 5 points for every 10 quantity they order and limit the points that Customers can earn to be 15 points, then:","3. If you want to give Customers 5 points for every 10 quantity they order and limit the points that Customers can earn to be 15 points, then:"
"If you want to apply the rule to item having cost of product is greater than %s and brand of product is Apple, the condition is:","If you want to apply the rule to item having cost of product is greater than %s and brand of product is Apple, the condition is:"
"If you want to apply the rule to order that has Subtotal over %s and Shipping to France, the condition is:","If you want to apply the rule to order that has Subtotal over %s and Shipping to France, the condition is:"
"1. If you want to give discount when Customers use an exact number of points, such as 5 points, then:","1. If you want to give discount when Customers use an exact number of points, such as 5 points, then:"
"2. If you want to give discount for every 5 points Customers spend on order and limit the points they can use to be 15 points, then:","2. If you want to give discount for every 5 points Customers spend on order and limit the points they can use to be 15 points, then:"
"Offer is displayed on ","Offer is displayed on "
"Use Customer Reward Points","Use Customer Reward Points"
"Choose how many points to spend","Choose how many points to spend"
"Each %d point get %s discount","Each %d point get %s discount"
"With %d","With %d"
"Point","Point"
"Use Reward Points","Use Reward Points"
"Customer not enough points to spend","Customer not enough points to spend"
"Zoom Out","Zoom Out"
"Zoom In","Zoom In"
"You will spend","You will spend"
"points","points"
"Maximize discount with points","Maximize discount with points"
"More ways to spend points","More ways to spend points"
"Choose ways to spend points","Choose ways to spend points"
"Spend %s points","Spend %s points"
"and get %s off","and get %s off"
"Spend/Earn Ratio","Spend/Earn Ratio"
"Earning Distribution","Earning Distribution"
"Choose date to report","Choose date to report"
"Select Date","Select Date"
"To","To"
"No Data Found","No Data Found"
"Select Range","Select Range"
"Remove item","Remove item"
"Points Spent","Points Spent"
"off","off"
"Remove Rule","Remove Rule"
"Earning %d Points for this item","Earning %d Points for this item"
"Move to Wishlist","Move to Wishlist"
"Total","Total"
"Total incl. tax","Total incl. tax"
"Qty","Qty"
"Edit item parameters","Edit item parameters"
"See price before order confirmation.","See price before order confirmation."
"What","What"
"Spend Your Points","Spend Your Points"
"Use Your Points","Use Your Points"
"You need to earn more","You need to earn more"
"Please click","Please click"
"here","here"
"to learn about it.","to learn about it."
"Maximize my discount with points","Maximize my discount with points"
"Loading total","Loading total"
"Refreshing cart, please wait","Refreshing cart, please wait"
"You will earn","You will earn"
"Refreshing points, please wait","Refreshing points, please wait"
"Loading payment method...","Loading payment method..."
"Close","Close"
"Card Verification Number Visual Reference","Card Verification Number Visual Reference"
"My Rewards","My Rewards"
"Expires on ","Expires on "
"My Coupons","My Coupons"
"My Links","My Links"
"Coupon Code","Coupon Code"
"Uses","Uses"
"Max uses","Max uses"
"Url","Url"
"Expired at","Expired at"
"Unlimited","Unlimited"
"Share your coupon code","Share your coupon code"
"Share your link","Share your link"
"Share it on Facebook","Share it on Facebook"
"Coupon code: ","Coupon code: "
"at","at"
"Tweet it","Tweet it"
"Mail it","Mail it"
"Rebate successful!","Rebate successful!"
"Please go to My Account area to see your reward points.","Please go to My Account area to see your reward points."
"cash back","cash back"
"How does this work?","How does this work?"
"receive discount","receive discount"
"receive reward points after buying","receive reward points after buying"
"Question?","Question?"
"This deal is expired or does not exist.","This deal is expired or does not exist."
"Click this to go to %s.","Click this to go to %s."
"It is valid until %s","It is valid until %s"
"You will earn %d %s for buying this product","You will earn %d %s for buying this product"
"-- Please Select Rule --","-- Please Select Rule --"
"You need","You need"
"login","login"
"with","with"
"Email to a Friend","Email to a Friend"
"OR","OR"
"Quick Overview","Quick Overview"
"Share for Friend","Share for Friend"
"Remove Email","Remove Email"
"Name:","Name:"
"Email Address:","Email Address:"
"Email Address","Email Address"
"Email:","Email:"
"Message:","Message:"
"Recipient","Recipient"
"Back","Back"
"Send Email","Send Email"
"Maximum %d email addresses allowed.","Maximum %d email addresses allowed."
"Add Recipient","Add Recipient"
"Exchange rate:","Exchange rate:"
"Balance limitation:","Balance limitation:"
"View Transaction History to follow when the transaction expires.","View Transaction History to follow when the transaction expires."
